IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.65.248.147,443,443,true,FRA,Europe,Frankfurt,188,1.81
34.65.127.153,443,443,true,FRA,Europe,Frankfurt,180,1.76
34.118.57.86,443,443,true,FRA,Europe,Frankfurt,240,1.75
34.118.56.203,443,443,true,CDG,Europe,Paris,219,1.68
34.65.244.35,443,443,true,AMS,Europe,Amsterdam,238,1.67
35.194.241.8,8080,80,false,TPE,Asia Pacific,Taipei,41,1.61
34.65.151.92,443,443,true,FRA,Europe,Frankfurt,209,1.60
34.89.241.113,443,443,true,AMS,Europe,Amsterdam,219,1.58
34.91.199.167,443,443,true,FRA,Europe,Frankfurt,277,1.50
34.65.187.105,443,443,true,FRA,Europe,Frankfurt,182,1.46
34.65.41.157,443,443,true,FRA,Europe,Frankfurt,188,1.43
34.65.42.175,443,443,true,FRA,Europe,Frankfurt,186,1.42
34.118.17.145,443,443,true,FRA,Europe,Frankfurt,253,1.40
34.65.244.35,443,443,true,FRA,Europe,Frankfurt,244,1.35
34.65.43.26,443,443,true,FRA,Europe,Frankfurt,166,1.32
34.65.187.105,443,443,true,FRA,Europe,Frankfurt,164,1.31
34.65.97.68,443,443,true,FRA,Europe,Frankfurt,223,1.28
34.141.196.166,443,443,true,FRA,Europe,Frankfurt,206,1.28
34.116.222.44,443,443,true,FRA,Europe,Frankfurt,266,1.27
34.34.25.62,443,443,true,FRA,Europe,Frankfurt,230,1.18
34.116.212.119,443,443,true,FRA,Europe,Frankfurt,269,1.18
34.65.137.19,443,443,true,FRA,Europe,Frankfurt,237,1.14
34.65.252.68,443,443,true,FRA,Europe,Frankfurt,239,1.12
